r,t,f,y,UseByTechnologyAnnual
RE1,DEMINDHECOA,COA,2048,10.5899
RE1,DEMINDHECOA,COA,2049,5.879
RE1,DEMINDHEEH,ELC003,2021,0.2949
RE1,DEMINDHEEH,ELC003,2024,0.2949
RE1,DEMINDHEEH,ELC003,2049,15.5773
RE1,DEMINDHEEH,ELC003,2050,20.7779
RE1,DEMINDHEEH,ELC003,2051,21.1199
RE1,DEMINDHEEH,ELC003,2052,21.4674
RE1,DEMINDHEEH,ELC003,2053,21.8206
RE1,DEMINDHEEH,ELC003,2054,22.1796
RE1,DEMINDHEEH,ELC003,2055,22.5443
RE1,DEMINDHEEH,ELC003,2056,22.915
RE1,DEMINDHEEH,ELC003,2057,23.2917
RE1,DEMINDHEEH,ELC003,2058,23.6746
RE1,DEMINDHEEH,ELC003,2059,24.0637
RE1,DEMINDHEEH,ELC003,2060,24.4592
RE1,DEMINDHEEH,ELC003,2061,24.7784
RE1,DEMINDHEEH,ELC003,2062,25.1018
RE1,DEMINDHEEH,ELC003,2063,25.4294
RE1,DEMINDHEEH,ELC003,2064,25.7614
RE1,DEMINDHEEH,ELC003,2065,26.0977
RE1,DEMINDHEEH,ELC003,2066,26.4384
RE1,DEMINDHEEH,ELC003,2067,26.7837
RE1,DEMINDHEEH,ELC003,2068,27.1336
RE1,DEMINDHEEH,ELC003,2069,27.4881
RE1,DEMINDHEEH,ELC003,2070,27.8474
RE1,DEMINDHEEL,ELC003,2049,6.1454
RE1,DEMINDHEEL,ELC003,2050,13.9426
RE1,DEMINDHEEL,ELC003,2051,13.8113
RE1,DEMINDHEEL,ELC003,2052,13.6812
RE1,DEMINDHEEL,ELC003,2053,13.5523
RE1,DEMINDHEEL,ELC003,2054,13.4246
RE1,DEMINDHEEL,ELC003,2055,13.298
RE1,DEMINDHEEL,ELC003,2056,13.1726
RE1,DEMINDHEEL,ELC003,2057,13.0483
RE1,DEMINDHEEL,ELC003,2058,12.9252
RE1,DEMINDHEEL,ELC003,2059,12.8032
RE1,DEMINDHEEL,ELC003,2060,12.6823
RE1,DEMINDHEEL,ELC003,2061,12.5581
RE1,DEMINDHEEL,ELC003,2062,12.4351
RE1,DEMINDHEEL,ELC003,2063,12.3133
