r,t,e,y,AnnualTechnologyEmission
RE1,MINNGS,EMIC02,2031,1234.1026
RE1,MINNGS,EMIC02,2032,1146.6818
RE1,MINNGS,EMIC02,2033,1060.489
RE1,MINNGS,EMIC02,2034,977.3308
RE1,MINNGS,EMIC02,2035,895.5888
RE1,MINNGS,EMIC02,2036,815.4363
RE1,MINNGS,EMIC02,2037,737.0598
RE1,MINNGS,EMIC02,2038,660.6628
RE1,MINNGS,EMIC02,2039,568.0097
RE1,MINNGS,EMIC02,2040,555.1637
RE1,MINNGS,EMIC02,2041,535.7157
RE1,MINNGS,EMIC02,2042,509.3207
RE1,MINNGS,EMIC02,2043,475.6055
RE1,MINNGS,EMIC02,2044,434.1871
RE1,MINNGS,EMIC02,2045,384.6599
RE1,MINNGS,EMIC02,2046,326.6052
RE1,MINNGS,EMIC02,2047,259.5826
RE1,MINNGS,EMIC02,2048,183.1325
RE1,MINNGS,EMIC02,2049,95.1196
