r,l,t,f,y,ProductionByTechnology
RE1,S107,MINWND,WND,2030,2.4297
RE1,S107,MINHYD,HYD,2030,1.3985
RE1,S107,PWRBIO001,COM027,2030,0.7841
RE1,S107,PWRNGS001,ELC001,2030,1.7037
RE1,S107,PWRHYD001,COM027,2030,0.8425
RE1,S107,PWRHYD002,ELC001,2030,0.323
RE1,S107,PWRHYD003,ELC001,2030,0.2098
RE1,S107,PWRWND001,COM027,2030,1.3876
RE1,S107,PWRSOL001S,COM027,2030,0.3412
RE1,S107,PWRWND001S,COM027,2030,1.042
RE1,S107,PWRTRNIMP,ELC001,2030,1.552
RE1,S107,PWRTRN,ELC002,2030,7.9403
RE1,S107,PWRDIST,ELC003,2030,7.4491
RE1,S107,PWRSOL002,ELC003,2030,0.4477
RE1,S107,PWRHYD004,ELC003,2030,0.0233
RE1,S107,DEMTRAEVC,ELCEV,2030,3.9473
RE1,S107,DEMTRAMCYELC,TRAMCY,2030,3.5561
RE1,S107,DEMTRACARGSL,TRACAR,2030,3.5561
RE1,S107,DEMTRABUSGSL,TRABUS,2030,3.2641
RE1,S107,DEMINDELC,INDELC,2030,0.4928
RE1,S107,INDENEFFDP,INDELC,2030,2.9265
RE1,S107,DEMINDHECOA,INDHEH,2030,1.0197
RE1,S107,DEMINDHEOIL,INDHEH,2030,0.5099
RE1,S107,DEMINDHEBIO,INDHEL,2030,1.9497
RE1,S107,DEMRESCKNELC,RESCKN,2030,0.7568
RE1,S107,DEMRESCKNBIO,RESCKN,2030,4.0356
RE1,S107,DEMRESHEBIO,RESHEL,2030,3.0929
RE1,S107,DEMCOMHEBIO,COMHEL,2030,0.0305
RE1,S107,TEC087,ELC001,2030,4.3974
RE1,S108,MINBIO,BIO,2030,30.8264
RE1,S108,IMPCOA,COA,2030,1.2589
RE1,S108,IMPLFO,LFO,2030,31.4665
RE1,S108,MINNGS,NGS,2030,1.8518
RE1,S108,MINSOL,SOL,2030,5.0749
RE1,S108,MINWND,WND,2030,2.2811
RE1,S108,MINHYD,HYD,2030,1.3985
RE1,S108,PWRBIO001,COM027,2030,0.7841
RE1,S108,PWRNGS001,ELC001,2030,0.8903
RE1,S108,PWRSOL001,COM027,2030,2.3887
RE1,S108,PWRHYD001,COM027,2030,0.8425
RE1,S108,PWRHYD002,ELC001,2030,0.323
RE1,S108,PWRHYD003,ELC001,2030,0.2098
RE1,S108,PWRWND001,COM027,2030,1.2391
RE1,S108,PWRSOL001S,COM027,2030,2.0474
RE1,S108,PWRWND001S,COM027,2030,1.042
RE1,S108,PWRTRN,ELC002,2030,9.3793
RE1,S108,PWRDIST,ELC003,2030,8.7991
RE1,S108,PWRSOL002,ELC003,2030,2.6863
RE1,S108,PWRHYD004,ELC003,2030,0.0233
RE1,S108,DEMTRAEVC,ELCEV,2030,3.9473
RE1,S108,DEMTRAMCYELC,TRAMCY,2030,3.5561
RE1,S108,DEMTRACARGSL,TRACAR,2030,3.5561
RE1,S108,DEMTRABUSGSL,TRABUS,2030,3.2641
RE1,S108,DEMINDELC,INDELC,2030,1.0124
RE1,S108,INDENEFFDP,INDELC,2030,2.9265
RE1,S108,DEMINDHECOA,INDHEH,2030,1.0197
RE1,S108,DEMINDHEOIL,INDHEH,2030,0.5099
RE1,S108,DEMINDHEBIO,INDHEL,2030,1.9497
RE1,S108,DEMRESCKNELC,RESCKN,2030,3.6796
RE1,S108,DEMRESCKNBIO,RESCKN,2030,4.0356
RE1,S108,DEMRESHEBIO,RESHEL,2030,3.0929
RE1,S108,DEMCOMHEBIO,COMHEL,2030,0.0305
RE1,S108,TEC087,ELC001,2030,8.3437
RE1,S101,IMPOIL,OIL,2040,8.4254
RE1,S101,MINBIO,BIO,2040,14.8509
RE1,S101,IMPCOA,COA,2040,3.7229
RE1,S101,IMPLFO,LFO,2040,16.2975
RE1,S101,UPSREF001,LFO,2040,7.5829
RE1,S101,UPSREF001,HFO,2040,0.8425
RE1,S101,MINNGS,NGS,2040,2.474
RE1,S101,MINSOL,SOL,2040,1.2171
RE1,S101,MINWND,WND,2040,5.3016
RE1,S101,MINHYD,HYD,2040,2.2519
RE1,S101,PWRBIO001,COM027,2040,3.8595
RE1,S101,PWRCOA001,ELC001,2040,1.3788
RE1,S101,PWROHC001,ELC001,2040,2.3799
RE1,S101,PWROHC002,ELC001,2040,0.2946
RE1,S101,PWRNGS001,ELC001,2040,1.1894
RE1,S101,PWRHYD001,COM027,2040,1.3566
