r,l,t,f,y,ProductionByTechnology
RE1,S105,MINNGS,NGS,2030,5.3478
RE1,S105,MINSOL,SOL,2030,0.0057
RE1,S105,MINWND,WND,2030,0.0394
RE1,S105,MINHYD,HYD,2030,1.1593
RE1,S105,PWRBIO001,COM027,2030,2.2271
RE1,S105,PWRNGS001,ELC001,2030,2.5711
RE1,S105,PWRHYD001,COM027,2030,0.6984
RE1,S105,PWRHYD002,ELC001,2030,0.2677
RE1,S105,PWRHYD003,ELC001,2030,0.1739
RE1,S105,PWRWND001,COM027,2030,0.0394
RE1,S105,PWRSOL001S,COM027,2030,0.3078
RE1,S105,PWRTRNIMP,ELC001,2030,1.4772
RE1,S105,PWRTRN,ELC002,2030,7.5297
RE1,S105,PWRDIST,ELC003,2030,7.0639
RE1,S105,PWRSOL002,ELC003,2030,0.0057
RE1,S105,PWRHYD004,ELC003,2030,0.0193
RE1,S105,DEMTRAEVC,ELCEV,2030,4.0299
RE1,S105,DEMTRAMCYELC,TRAMCY,2030,3.6306
RE1,S105,DEMTRACARGSL,TRACAR,2030,5.1954
RE1,S105,DEMTRABUSGSL,TRABUS,2030,0.8605
RE1,S105,DEMINDELC,INDELC,2030,2.6158
RE1,S105,DEMINDHECOA,INDHEH,2030,1.5296
RE1,S105,DEMINDHEBIO,INDHEL,2030,1.9497
RE1,S105,DEMRESCKNBIO,RESCKN,2030,7.2167
RE1,S105,DEMRESHEBIO,RESHEL,2030,3.0929
RE1,S105,DEMCOMHEBIO,COMHEL,2030,0.0305
RE1,S105,TEC087,ELC001,2030,3.2727
RE1,S106,MINBIO,BIO,2030,52.6091
RE1,S106,IMPCOA,COA,2030,1.8883
RE1,S106,IMPLFO,LFO,2030,29.419
RE1,S106,MINNGS,NGS,2030,1.9197
RE1,S106,MINSOL,SOL,2030,2.1894
RE1,S106,MINWND,WND,2030,0.0311
RE1,S106,MINHYD,HYD,2030,1.1593
RE1,S106,PWRBIO001,COM027,2030,2.2271
RE1,S106,PWRNGS001,ELC001,2030,0.9229
RE1,S106,PWRSOL001,COM027,2030,2.1549
RE1,S106,PWRHYD001,COM027,2030,0.6984
RE1,S106,PWRHYD002,ELC001,2030,0.2677
RE1,S106,PWRHYD003,ELC001,2030,0.1739
RE1,S106,PWRWND001,COM027,2030,0.0311
RE1,S106,PWRSOL001S,COM027,2030,1.8471
RE1,S106,PWRTRN,ELC002,2030,7.9789
RE1,S106,PWRDIST,ELC003,2030,7.4854
RE1,S106,PWRSOL002,ELC003,2030,0.0345
RE1,S106,PWRHYD004,ELC003,2030,0.0193
RE1,S106,DEMTRAEVC,ELCEV,2030,4.0299
RE1,S106,DEMTRAMCYELC,TRAMCY,2030,3.6306
RE1,S106,DEMTRACARGSL,TRACAR,2030,5.1954
RE1,S106,DEMTRABUSGSL,TRABUS,2030,0.8605
RE1,S106,DEMINDELC,INDELC,2030,3.066
RE1,S106,DEMINDHECOA,INDHEH,2030,1.5296
RE1,S106,DEMINDHEBIO,INDHEL,2030,1.9497
RE1,S106,DEMRESCKNBIO,RESCKN,2030,7.2167
RE1,S106,DEMRESHEBIO,RESHEL,2030,3.0929
RE1,S106,DEMCOMHEBIO,COMHEL,2030,0.0305
RE1,S106,TEC087,ELC001,2030,6.9586
RE1,S107,MINBIO,BIO,2030,52.6091
RE1,S107,IMPCOA,COA,2030,1.8883
RE1,S107,IMPLFO,LFO,2030,29.419
RE1,S107,MINNGS,NGS,2030,5.3478
RE1,S107,MINSOL,SOL,2030,0.0064
RE1,S107,MINWND,WND,2030,0.0376
RE1,S107,MINHYD,HYD,2030,1.3985
RE1,S107,PWRBIO001,COM027,2030,2.2271
RE1,S107,PWRNGS001,ELC001,2030,2.5711
RE1,S107,PWRHYD001,COM027,2030,0.8425
RE1,S107,PWRHYD002,ELC001,2030,0.323
RE1,S107,PWRHYD003,ELC001,2030,0.2098
RE1,S107,PWRWND001,COM027,2030,0.0376
RE1,S107,PWRSOL001S,COM027,2030,0.3412
RE1,S107,PWRTRNIMP,ELC001,2030,2.0883
RE1,S107,PWRTRN,ELC002,2030,8.3813
RE1,S107,PWRDIST,ELC003,2030,7.8629
RE1,S107,PWRSOL002,ELC003,2030,0.0064
RE1,S107,PWRHYD004,ELC003,2030,0.0233
RE1,S107,DEMTRAEVC,ELCEV,2030,4.0299
RE1,S107,DEMTRAMCYELC,TRAMCY,2030,3.6306
RE1,S107,DEMTRACARGSL,TRACAR,2030,5.1954
RE1,S107,DEMTRABUSGSL,TRABUS,2030,0.8605
RE1,S107,DEMINDELC,INDELC,2030,3.4193
RE1,S107,DEMINDHECOA,INDHEH,2030,1.5296
RE1,S107,DEMINDHEBIO,INDHEL,2030,1.9497
RE1,S107,DEMRESCKNBIO,RESCKN,2030,7.2167
RE1,S107,DEMRESHEBIO,RESHEL,2030,3.0929
RE1,S107,DEMCOMHEBIO,COMHEL,2030,0.0305
RE1,S107,TEC087,ELC001,2030,3.4484
RE1,S108,MINBIO,BIO,2030,52.6091
RE1,S108,IMPCOA,COA,2030,1.8883
RE1,S108,IMPLFO,LFO,2030,29.419
RE1,S108,MINNGS,NGS,2030,1.9336
RE1,S108,MINSOL,SOL,2030,2.4269
RE1,S108,MINWND,WND,2030,0.0336
RE1,S108,MINHYD,HYD,2030,1.3985
RE1,S108,PWRBIO001,COM027,2030,2.2271
RE1,S108,PWRNGS001,ELC001,2030,0.9296
RE1,S108,PWRSOL001,COM027,2030,2.3887
RE1,S108,PWRHYD001,COM027,2030,0.8425
RE1,S108,PWRHYD002,ELC001,2030,0.323
RE1,S108,PWRHYD003,ELC001,2030,0.2098
RE1,S108,PWRWND001,COM027,2030,0.0336
RE1,S108,PWRSOL001S,COM027,2030,2.0474
RE1,S108,PWRTRN,ELC002,2030,8.6371
RE1,S108,PWRDIST,ELC003,2030,8.1028
RE1,S108,PWRSOL002,ELC003,2030,0.0382
RE1,S108,PWRHYD004,ELC003,2030,0.0233
RE1,S108,DEMTRAEVC,ELCEV,2030,3.8068
RE1,S108,DEMTRAMCYELC,TRAMCY,2030,3.4295
RE1,S108,DEMTRACARGSL,TRACAR,2030,1.2132
RE1,S108,DEMTRABUSGSL,TRABUS,2030,5.8382
RE1,S108,DEMINDELC,INDELC,2030,3.9389
RE1,S108,DEMINDHECOA,INDHEH,2030,1.5296
RE1,S108,DEMINDHEBIO,INDHEL,2030,1.9497
RE1,S108,DEMRESCKNBIO,RESCKN,2030,7.2167
RE1,S108,DEMRESHEBIO,RESHEL,2030,3.0929
RE1,S108,DEMCOMHEBIO,COMHEL,2030,0.0305
RE1,S108,TEC087,ELC001,2030,7.5392
RE1,S101,MINBIO,BIO,2040,55.5908
RE1,S101,IMPCOA,COA,2040,2.5444
